,Reddish Egret,Dark-eyed Junco,Graylag Goose,Fish Crow,White-winged Scoter,Golden-winged Warbler,Orange-crowned Warbler,American Redstart,Least Flycatcher,Dunlin,American Avocet,Baltimore Oriole,Short-billed Dowitcher,Great Blue Heron,Common Gallinule,Yellow-crowned Night Heron,Neotropic Cormorant,Horned Grebe,Horned Lark,Monk Parakeet,Canvasback,Northern Harrier,Blackpoll Warbler,European Starling,Brown Thrasher,Downy Woodpecker,Bullock's Oriole,Cape May Warbler,Cerulean Warbler,American Crow,Dickcissel,Brown Noddy,Great Black-backed Gull,Eastern Phoebe,Caspian Tern,Red Junglefowl,Royal Tern,Blue Grosbeak,Ross's Goose,Black-and-white Warbler,Tropical Kingbird,Purple Finch,Eastern Kingbird,Indigo Bunting,Acadian Flycatcher,Red-eyed Vireo,Solitary Sandpiper,Gull-billed Tern,Nashville Warbler,Black-headed Gull,Little Blue Heron,Warbling Vireo,Black-whiskered Vireo,Brown Pelican,Fox Sparrow,Black Scoter,Gray-cheeked Thrush,Grasshopper Sparrow,Field Sparrow,Hairy Woodpecker,Long-billed Dowitcher,Sandwich Tern,Lesser Yellowlegs,White-throated Sparrow,Bald Eagle,Bridled Tern,Groove-billed Ani,Killdeer,Allen's Hummingbird,Hooded Warbler
Reddish Egret,0.0,0.00019123787764713173,0.000359494169585435,0.00023248522400753547,5.635375445504577e-05,6.812689101260563e-05,9.640521543271115e-05,0.00012458637032073866,0.00021309431648506595,1.2776458839930292e-05,5.056160448016931e-05,0.000148477560701208,0.00017097713904309927,2.253292582069659e-05,1.4513987996110004e-05,3.3286267978054555e-05,4.5209483262972446e-06,1.602052387782521e-05,1.0609872173683188e-05,1.643754902609657e-05,6.869497029551359e-06,2.4723344640454406e-05,6.010041507895729e-06,3.118435558938455e-05,6.850802545173304e-06,5.33029978052145e-06,1.2422926029881353e-05,9.640742182641944e-06,1.408932019907138e-05,1.992703943839478e-06,1.6258191849088556e-05,5.9371965448359595e-06,1.8128920234787562e-06,1.557107340387519e-05,6.295846200544145e-06,1.0536651092516748e-05,6.567134347159566e-06,1.8463783940715877e-05,4.670696748725799e-06,4.738987591653415e-06,4.002010173242234e-06,0.00014823797742141966,5.334267457145778e-06,5.469199799579503e-05,4.8183122555090014e-11,3.506994450375738e-11,1.0482782893507089e-11,1.7912963123111992e-11,3.561170410385468e-11,6.1533565993904285e-12,8.176482323577226e-12,1.6921141336682624e-11,1.7846891239548388e-11,5.354455067004377e-11,6.585115448057939e-12,8.667978352916676e-12,3.919867036984769e-12,9.138322869122262e-12,6.509419846504246e-12,9.576996303673358e-12,2.5951681815998506e-11,2.8833332764630326e-11,2.495440522171352e-11,1.3988061787555773e-11,3.570242563749052e-11,5.5346946777882085e-11,9.63018527023399e-12,3.0179349720415e-11,3.094748142261357e-11,7.90165223493724e-12
Dark-eyed Junco,0.00019123787764713173,0.0,0.0006593649354643147,0.00013270480270250557,2.254449045038683e-05,2.603459869468157e-05,0.0003248052408557391,1.5167192027071809e-05,1.2936253136110273e-05,1.7545420075512098e-06,5.63746900654303e-05,0.00013680666512825602,3.820293167911924e-05,8.714840415494755e-05,9.277158474555715e-05,0.00026292591533011347,4.389696930421327e-05,8.480276434025052e-05,5.1685662398252084e-05,0.00019104264508208195,5.854148111902347e-05,0.00021249818858117562,6.911717549754523e-05,3.5821767717252476e-05,4.031978187280183e-05,6.131651793776424e-05,3.073973261773273e-05,9.49518571447357e-05,4.1679054532060215e-05,1.196939424504575e-05,2.8219924259401864e-05,4.537278295546011e-05,8.651671275439462e-06,1.620716204165644e-05,1.4147003314873819e-05,7.066258331967922e-06,1.857908594833253e-05,1.1684446679909683e-05,7.943690209934093e-06,1.608451378510415e-05,8.096643077299184e-06,4.2390523383986344e-05,7.46457027824223e-06,4.213331323664588e-05,1.1418893176673634e-13,8.964911184550192e-14,2.624725451170909e-14,6.19589487303395e-14,1.5834932014746006e-13,9.005444579513371e-15,8.970777629663604e-14,2.7398600229932966e-14,1.010141779271924e-13,5.757519587220836e-14,4.476126144670709e-14,7.240892350802229e-14,5.1206897100911453e-14,8.307464190101569e-14,1.2815427989311222e-14,3.285429807436817e-14,1.0671994873737118e-13,4.656838991739415e-14,1.7012448885145997e-13,4.360934249798345e-14,8.882678440433319e-14,1.9032400733070575e-13,3.9895875187646006e-14,1.2429822395009108e-13,3.815232990486225e-13,4.028360986690674e-14
Graylag Goose,0.000359494169585435,0.0006593649354643147,0.0,0.00010500340517429664,0.00015156394843019694,0.000136441103568522,0.00030731631187509007,9.459566757439329e-05,4.017696255139014e-05,1.2456215459272701e-05,9.017824125985948e-05,0.0003313267954865741,0.0001717872473069742,4.858945256256488e-05,9.302983895913749e-05,7.843209481268736e-05,4.22751691140755e-06,2.4041156421293408e-05,1.3837197081974106e-05,5.9313570225966475e-05,3.3048044518684345e-05,7.16806318601846e-05,1.0926398433165421e-05,3.739831564892708e-05,3.520061196292298e-05,2.9041009818374977e-05,1.6623311556635298e-05,1.5244094799301145e-05,2.4914250877038357e-05,4.731693481276301e-06,4.63084609843972e-05,2.3882800660721587e-05,4.342289501231812e-06,1.3288278427388196e-05,4.779872824289557e-06,5.657747868177026e-06,5.6954245732702296e-06,8.697985004843578e-06,3.892963156090006e-06,9.877482096581401e-06,1.9567912939312866e-05,4.893739087965267e-05,6.296519290715214e-05,9.408162872886573e-05,3.937528077079856e-11,3.921402968481624e-12,4.0301073788431896e-12,3.241263719081235e-12,6.886641116875059e-12,1.6418787936522248e-12,4.146366048963694e-12,5.001406238822231e-12,3.322814731279463e-11,5.635155037292274e-12,1.8627473464794696e-12,6.622516291016061e-12,6.552802924647956e-13,3.422664323457405e-12,2.8413318771365734e-12,1.76516021772058e-12,1.5767710743951335e-11,2.104080320236096e-12,3.204134348922251e-11,3.300509477668215e-12,3.91404296559904e-12,1.4995658677052463e-11,1.0183691588354723e-12,1.1747803954546191e-11,3.2616654872710624e-11,1.4820326456524276e-12
Fish Crow,0.00023248522400753547,0.00013270480270250557,0.00010500340517429664,0.0,0.0005432238366518782,9.723550080421883e-05,0.00027038187917282025,4.94340333013755e-05,0.00013380624478416512,1.3518321486419468e-05,0.00014088103687929536,0.00010032991530183845,9.702171485048144e-05,1.0319655172273866e-05,2.574598370417695e-06,3.4443672160060267e-06,9.279118830790517e-08,8.96799349615923e-07,7.203990200226614e-07,1.0579575737024533e-06,7.74603789418293e-07,5.6666063125623826e-06,3.716577560250247e-07,6.220579849862598e-06,4.655577171018107e-06,1.9236218796618575e-06,6.059718234898966e-07,1.5480713835738122e-06,2.586416924328882e-06,8.70927188153753e-08,3.158087265584047e-06,1.1818411595471606e-06,1.0743842832831158e-06,1.2944087274067188e-06,1.077741597498227e-06,4.3259576723105226e-07,1.4678322481301426e-06,1.1875389604911808e-05,2.4191106196856168e-06,6.872637941244927e-07,6.823444211977364e-07,1.4055766028231495e-05,3.750227871921712e-06,3.522524227803715e-05,1.7994281692791832e-09,2.626043752687757e-09,5.688445308092593e-10,1.697224020826277e-09,2.1216933941727125e-09,9.502212338249507e-10,1.0641550324089025e-09,1.0966037142355704e-09,2.7894264873603114e-09,3.362779259481694e-09,6.542776491287267e-10,1.153871279673456e-09,6.381740567014694e-10,8.958503504202405e-10,1.7072444649192681e-09,9.922357988588634e-10,2.1417077286831385e-09,1.267537925731267e-09,1.451553192931134e-09,1.401602913973246e-09,7.710678779626372e-10,2.7726430989560077e-09,1.4811862172435884e-09,1.6838646077208286e-09,1.6500694308896876e-09,5.060813044662946e-10
White-winged Scoter,5.635375445504577e-05,2.254449045038683e-05,0.00015156394843019694,0.0005432238366518782,0.0,4.940316239030038e-05,0.00024539642864743514,0.00010506127943616399,0.00018486762146765256,1.3387137326806064e-05,5.591732353086314e-05,9.957064628728095e-05,0.00010445945848780807,1.4703586359223965e-05,8.031562588119335e-06,4.269484358172305e-06,4.526291800141738e-08,4.357387531432669e-07,2.820159981796343e-07,1.1522440244001229e-06,5.427163429729821e-07,1.9250748286155136e-06,1.2357766165526285e-07,1.2295970543452938e-06,4.547517855254234e-06,7.318250913832153e-07,3.2707189766707397e-06,9.783449202399883e-07,2.189591115805369e-06,2.2164845061234068e-07,2.8977790716562392e-06,2.8021696423699055e-06,1.5625581150771421e-06,2.1418725771162258e-06,8.478947733840965e-07,1.4869647786676755e-06,1.6851976802803415e-06,4.631510768408821e-06,1.5429722478891907e-06,5.56561387300447e-07,1.8279835729062543e-06,6.267305110304138e-06,9.216914752865508e-06,2.8839859116024248e-05,4.0563158483484436e-09,7.123110289281619e-09,7.568450026779334e-09,4.633908596578661e-09,2.1786612346457026e-08,5.275725132862659e-09,1.8897579997030803e-09,1.533892860993693e-08,8.398441476642211e-09,1.0636281583435207e-08,1.2633648384733832e-08,5.8413483711687275e-09,2.374257321067464e-09,4.678276032240479e-09,6.788687059781042e-09,4.7515128969429096e-09,3.217690364298733e-08,3.794670467735969e-09,6.543293183739063e-09,4.192922978772168e-09,7.896150603012261e-09,6.755585819496758e-09,5.1389284305531344e-09,1.7413972244512075e-08,1.64469296813877e-08,5.234490546343077e-09
Golden-winged Warbler,6.812689101260563e-05,2.603459869468157e-05,0.000136441103568522,9.723550080421883e-05,4.940316239030038e-05,0.0,0.00035064540251456586,6.034902617884461e-05,6.306348069260436e-05,9.052450534389194e-05,1.5317352146545738e-05,0.0001460357673748588,0.0002279849087715171,0.0001451785371886562,8.942061434671691e-05,4.042468584881568e-05,4.109119968118447e-06,1.2259135844686558e-05,4.901161065327762e-06,1.1277955088565566e-05,1.3232258155941543e-05,4.8137251213531676e-05,3.4717940215785804e-06,1.0531585002488257e-05,8.552672857264185e-05,2.2171743983795267e-05,1.4213760123527483e-05,2.8930854993269847e-05,3.252955210521798e-05,5.4368342564662585e-06,6.304686045428747e-05,8.770882324339757e-05,2.450058820046846e-05,7.003472666573944e-05,1.6573616992362006e-05,2.7718633968985766e-05,1.7552172191689934e-05,0.00035038895820477495,3.93493181078817e-05,9.3420495340945e-06,3.27826292611797e-05,6.25006116812868e-05,0.00012658391900904493,0.00030820416471692317,2.3204194189051143e-10,4.5894948702746294e-10,1.7480148274869673e-10,2.279041962887573e-10,3.4927673147888217e-10,1.9152141014701554e-10,1.0264339994600276e-09,1.186031500561533e-10,5.326949361076075e-10,2.0057149538235292e-10,1.6104371162288853e-10,2.175617767504559e-10,1.5949581767143869e-10,2.1127880910694186e-10,7.671129076244833e-11,9.21706556334207e-11,1.912216915412044e-09,3.699062581227725e-10,9.274466187120103e-10,4.6162622268759894e-10,3.2563369590325353e-10,1.8798304594769997e-10,2.6539642063132866e-10,4.452479589608884e-10,6.980884680464169e-10,1.9549041001098677e-10
Orange-crowned Warbler,9.640521543271115e-05,0.0003248052408557391,0.00030731631187509007,0.00027038187917282025,0.00024539642864743514,0.00035064540251456586,0.0,0.0002667957054016342,7.88191567893647e-05,3.8562276978187476e-06,7.28184550566682e-05,5.914672070896347e-05,0.00014311021088243573,4.9915404148605504e-05,1.864048799522863e-05,3.163087867556823e-05,2.230386866897268e-06,1.6666130386219467e-05,6.707496893211092e-06,6.06678929913133e-06,4.237314703047019e-06,3.5587584519812994e-05,9.369307020541636e-06,3.906251985459562e-06,8.641227035261268e-05,2.6783272053263497e-05,1.5492047125527534e-05,6.678759096805121e-06,9.413947854965252e-06,3.879014678805057e-06,3.241521511045527e-05,1.235199468960084e-05,8.112911521687206e-06,1.8200261517665527e-05,6.7955767129784366e-06,1.876748430683263e-05,2.126808827970645e-05,2.5315638582929358e-05,9.557426838675933e-06,6.532370477091736e-06,8.89183124784479e-06,7.672222670624942e-05,3.34391738291234e-05,7.44965797275004e-05,7.72881742401445e-11,9.031332374559987e-11,4.364404803624375e-11,1.4573706760369882e-10,1.4464220416871539e-10,1.1032373299210011e-11,1.415277324215538e-11,3.646761854270814e-11,6.440146799438386e-11,1.0213707687494065e-10,1.879494620900594e-11,3.8230058128707986e-11,2.5379010726541048e-11,2.3224524600997757e-11,3.690849517493385e-11,5.0834776096090966e-11,1.2475923897330246e-10,2.7926708615021594e-11,1.1670658034879006e-10,3.306556056071451e-11,1.1138304680890687e-10,6.0593292782935e-11,3.114959225182028e-11,1.0177046132759935e-10,1.5911375558910501e-10,1.3027842702740399e-11
American Redstart,0.00012458637032073866,1.5167192027071809e-05,9.459566757439329e-05,4.94340333013755e-05,0.00010506127943616399,6.034902617884461e-05,0.0002667957054016342,0.0,0.00021973126718760743,9.471252658319022e-05,0.0003124027930194674,6.406263575825147e-05,0.0002649441048573633,3.0018538700207912e-05,5.178922054334274e-06,2.285641295622218e-05,5.999056867181085e-08,6.810432218643326e-07,7.799523791064346e-07,1.24898011307684e-06,4.397450091835514e-07,2.256359025953876e-06,1.2344704791787623e-07,3.0364598814864816e-06,1.1208870100202708e-05,1.2331847688599637e-06,2.1503018344972834e-06,8.870611805853388e-07,4.010206526257387e-06,4.698266881116759e-07,2.4778734546055e-06,1.6088284408694664e-06,3.7375257740836457e-06,7.352479576239005e-06,2.8012716911980427e-06,9.632431242126892e-07,1.0713937023492703e-06,4.602726635579558e-05,4.690614308159337e-06,2.224266023652126e-06,1.4177423546165253e-06,1.3528326042260336e-05,1.114450247341155e-05,3.652210456913097e-05,4.641650147568768e-09,2.1988759322883482e-08,3.7217632721930424e-09,4.3534124503381706e-09,6.537291451960298e-09,2.4296178331779173e-09,4.230829689100626e-09,3.847409193131612e-09,6.323260460668146e-09,4.682235544938697e-09,2.0396384070459556e-09,8.001432758608503e-09,4.385155810045739e-09,7.766228418678142e-09,5.039021921670657e-09,1.3227409423695387e-09,1.8634158449841335e-08,9.200441713205894e-09,1.5207433667994823e-08,1.0871496018667168e-08,9.099314046559287e-09,7.551032451058315e-09,4.409628743942565e-09,3.685266438042634e-08,1.4816168215872768e-08,2.3322843923712675e-09
Least Flycatcher,0.00021309431648506595,1.2936253136110273e-05,4.017696255139014e-05,0.00013380624478416512,0.00018486762146765256,6.306348069260436e-05,7.88191567893647e-05,0.00021973126718760743,0.0,5.87918479996978e-06,2.1596760920351262e-05,0.00010294272527461809,0.0001537702424015348,4.161060028427153e-06,1.7075495588206861e-06,1.9531945668922643e-06,1.5185400369567762e-08,6.459413972091446e-08,1.9945038315419813e-07,3.132292448005046e-07,4.459392627911503e-07,2.2460137415224545e-06,1.2864011493424733e-07,1.1499365244707652e-06,1.858823937307999e-06,4.2272151983235574e-07,3.4695698652350565e-07,5.646391374866387e-07,1.4097250771016457e-06,1.1437687494373776e-07,8.557319173716232e-07,1.4294633047459456e-06,9.677021772287245e-07,5.000902688543279e-06,4.341121089632992e-07,6.674669416586294e-07,5.765696378185494e-07,1.0872883164999678e-05,1.8242214258930609e-06,2.6810224291659495e-07,5.825620393861111e-07,2.2596654934756603e-05,5.596553883286571e-06,4.982043044912595e-06,1.6769938848188225e-08,4.581329185622543e-09,5.7908649440388e-09,1.0632959387733708e-08,3.038602736973024e-08,1.4618484082887595e-08,9.726951297245842e-09,1.7891626380305146e-08,1.3673468139876137e-08,6.314628765074122e-09,8.327234064051476e-09,2.3099881292359424e-08,5.503722558514872e-09,4.7473176746962165e-09,7.152515724651272e-09,3.950836107358248e-09,1.1315261422019736e-08,1.4390882217201896e-08,7.0014800734002415e-09,8.880656754956823e-09,1.5802265391203814e-08,2.4475729509566653e-08,7.034309197117459e-09,1.6830529739303286e-08,1.4193515288072236e-08,7.2031398011578965e-09
Dunlin,1.2776458839930292e-05,1.7545420075512098e-06,1.2456215459272701e-05,1.3518321486419468e-05,1.3387137326806064e-05,9.052450534389194e-05,3.8562276978187476e-06,9.471252658319022e-05,5.87918479996978e-06,0.0,0.00037068601032180044,5.074924763898106e-05,7.389440028613357e-05,1.0952810853012541e-05,2.990979300201965e-06,1.5101785689657633e-05,1.0518283214442965e-07,6.038254631959439e-07,4.976666785179318e-07,2.5145848902565406e-07,1.356238646390332e-06,3.951199723443749e-06,2.0624179687718333e-07,2.647630046962379e-05,1.278284372259216e-05,5.418409539731692e-06,1.066476452223492e-05,8.602269389560237e-07,1.3176152521900287e-05,3.2962824129835406e-06,2.5120794104497827e-05,1.464746354485744e-05,3.077557657128827e-05,3.75506176617058e-05,7.299034509446282e-06,9.539055638444748e-06,4.58545861535692e-06,8.219733898994942e-05,0.0002465906379006811,5.8335463863631515e-06,3.147374608182727e-05,0.00011790478124890474,6.269654417799552e-05,2.735362452375287e-05,8.878341481202906e-08,1.131679029201231e-08,1.4842819086873803e-08,2.582789711814306e-08,3.782452235361863e-08,8.866889344090264e-09,1.158759651663974e-08,2.791306683047532e-08,1.0636296333853567e-07,5.022814864470823e-08,7.5038311915728e-09,1.545734214890309e-08,3.860001839969824e-08,1.7574359549701755e-08,4.325245266777354e-08,6.656264633902753e-09,5.184232224315281e-08,2.0347891792554928e-08,7.273707497064591e-08,8.573623595699945e-09,2.6451593106007785e-08,1.171352756382028e-07,4.611413263901973e-08,8.928197765004371e-08,6.664418150370255e-08,1.47794518770071e-08
American Avocet,5.056160448016931e-05,5.63746900654303e-05,9.017824125985948e-05,0.00014088103687929536,5.591732353086314e-05,1.5317352146545738e-05,7.28184550566682e-05,0.0003124027930194674,2.1596760920351262e-05,0.00037068601032180044,0.0,0.0001511445188071823,0.0006606067202044456,0.00012492974883649642,3.246279506835282e-05,6.49392676459008e-05,4.983673218105029e-07,3.862749298542195e-06,8.005109340118521e-06,9.727461675631298e-06,3.958317956509576e-06,1.1355686282879938e-05,1.0871945985801763e-06,5.293365935218189e-05,1.6023031324716633e-05,6.802792068193387e-06,1.3610445270454909e-05,9.055039613784389e-06,1.034683018674876e-05,1.487610433168347e-06,2.2172276015294754e-05,6.619052421338258e-06,1.698256364014912e-05,1.8094499447328225e-05,4.90543049448676e-06,4.7576909592837265e-06,8.450176506284434e-06,7.993728662197457e-05,2.700619834039406e-05,2.120669341643454e-05,1.2030271942557714e-05,5.4239837035836144e-05,8.156817302075417e-05,0.0002204206276873568,1.321308976208447e-09,5.75162805643328e-10,1.5812847726182391e-09,1.1343034789556227e-09,1.896267190166953e-09,2.707256343994769e-10,1.0681317956791508e-09,1.964790695964429e-09,5.122025901735797e-09,1.7299864287181943e-09,5.01440447964456e-10,6.13436799911734e-10,2.2295192787869715e-09,1.3145021044739836e-09,7.469517227024127e-10,5.404886555485205e-10,2.391315404266357e-09,1.4513456857088628e-09,4.230473205815762e-09,1.1163811790050673e-09,1.8546281813993584e-09,3.868361467862149e-09,1.5968265506590019e-09,3.3557048483990947e-09,4.552770264388167e-09,7.451404629815635e-10
Baltimore Oriole,0.000148477560701208,0.00013680666512825602,0.0003313267954865741,0.00010032991530183845,9.957064628728095e-05,0.0001460357673748588,5.914672070896347e-05,6.406263575825147e-05,0.00010294272527461809,5.074924763898106e-05,0.0001511445188071823,0.0,0.0007043758889878179,0.0001271464821016519,4.3878453091392376e-05,7.396290584374998e-05,5.134961334351735e-06,8.372708507258444e-06,1.1791898656595927e-05,4.1850986283328304e-05,2.4063919030564957e-05,5.3259091392417566e-05,5.932654337710373e-06,3.586122836148884e-05,8.782803442217698e-05,2.6079079234641155e-05,5.159092049471985e-05,1.6429218659712984e-05,3.6910281002457194e-05,4.154714580193514e-06,1.802007331705193e-05,1.9162695330739012e-05,1.322015588905842e-05,2.4958746952697314e-05,1.709893416420936e-05,4.3646119474712243e-05,4.470408656061866e-05,3.9190277232430354e-05,1.3097628179464914e-05,1.7033469019070585e-05,6.790833460615717e-05,0.0001298591881078189,2.820448036217782e-05,6.550240041317236e-05,1.094321428002148e-11,5.638455254387608e-12,4.39029599161621e-12,3.5283449242362254e-12,1.0091003694266721e-11,1.7690059851728819e-12,9.03462817064187e-12,8.971935227579667e-12,1.7629823556496426e-11,1.5879168629136412e-11,1.3848032528734429e-12,6.486550101012736e-12,8.394038694250544e-12,1.1405243941622585e-11,7.1097239857639535e-12,6.597330539602385e-12,1.2789596237564853e-11,3.725346473061303e-12,4.832672325506055e-12,2.7055791715042986e-12,9.400874625707546e-12,1.4267158054046969e-11,1.6533402936241978e-11,2.2188720838084718e-11,1.0973903839326858e-11,3.0502687944239955e-12
Short-billed Dowitcher,0.00017097713904309927,3.820293167911924e-05,0.0001717872473069742,9.702171485048144e-05,0.00010445945848780807,0.0002279849087715171,0.00014311021088243573,0.0002649441048573633,0.0001537702424015348,7.389440028613357e-05,0.0006606067202044456,0.0007043758889878179,0.0,9.781310445273172e-05,1.790442059936644e-05,2.655310040024607e-05,7.38685864228019e-07,6.468786600884819e-06,3.5887302121950395e-06,7.339791490225906e-06,8.827245616292276e-06,3.568115237758488e-05,7.361825197476985e-07,9.535479334600033e-06,1.2933735131762353e-05,9.394275405520897e-06,6.2398153024172795e-06,9.037179100354334e-06,7.676477754201483e-06,1.2736705343024382e-06,1.910872010308282e-05,2.9443425759863354e-06,8.039008425047676e-06,8.947171827919917e-06,1.8943640424039494e-06,2.4778445066608465e-05,2.68412924282179e-06,9.72856654257932e-05,2.181313163918825e-05,6.972919101650702e-06,1.4116341464772427e-05,6.94649328704984e-05,2.4526517428047435e-05,0.00013362978747160213,4.1631833369859673e-10,3.272529081617104e-10,1.4146147188811996e-10,2.5368626160989486e-10,5.869201644910584e-10,4.9825487558886594e-11,2.8781320878383387e-10,6.873173845665989e-10,7.679607902407633e-10,2.6455418872545026e-10,1.5560969446819745e-10,9.809926353612951e-11,1.2436669351328475e-10,6.89181913803192e-11,8.18900825708166e-11,8.064793658965624e-11,8.625937621250057e-10,3.0973890569833104e-10,6.106717094350865e-10,4.3671811299803664e-10,3.118200528892437e-10,8.857468689534796e-10,2.0452620267667552e-10,4.858675991705557e-10,3.868591888553572e-10,1.8943933487357344e-10
Great Blue Heron,2.253292582069659e-05,8.714840415494755e-05,4.858945256256488e-05,1.0319655172273866e-05,1.4703586359223965e-05,0.0001451785371886562,4.9915404148605504e-05,3.0018538700207912e-05,4.161060028427153e-06,1.0952810853012541e-05,0.00012492974883649642,0.0001271464821016519,9.781310445273172e-05,0.0,7.775664873103271e-05,0.00024693689778470325,3.339811755278665e-05,3.3665334062949534e-05,9.15234022268324e-05,4.277863849711808e-05,5.573684196804534e-05,8.794511806890117e-05,3.689628471661408e-05,4.745623894666414e-05,3.991706177712173e-05,7.456035070954775e-05,9.807540183388591e-05,0.0001026586565879366,1.737858124457136e-05,2.1546943346741553e-05,5.9473250783021267e-05,2.59260096946155e-05,6.900270885829248e-06,5.38109033476646e-05,6.282699855257952e-05,4.105984281926654e-05,1.8742010470400877e-05,9.865241472315896e-05,3.9708672827388523e-05,0.00010148825590524357,9.035402094505385e-05,2.1089251756074508e-05,4.8904302149830795e-05,0.00024963931149256635,3.75953504823552e-13,5.808600339864232e-13,4.77515056770044e-13,2.842610146386112e-12,8.885651787388596e-13,1.1437659610958237e-13,1.496576480240688e-12,5.063107083548395e-13,6.250336228028266e-13,6.111140331509212e-13,8.057122391189081e-14,5.646529169055345e-13,2.87066578485876e-13,5.709434577570607e-13,6.245201523638495e-13,2.2266321909523358e-13,3.3698092794081514e-12,2.0798818389976695e-12,1.2914583434747032e-12,3.748434564028288e-13,3.6145545869026637e-13,6.00951457935845e-13,7.572822255121934e-13,3.8171455438529935e-12,1.892055654957631e-12,2.0461718879659297e-13
Common Gallinule,1.4513987996110004e-05,9.277158474555715e-05,9.302983895913749e-05,2.574598370417695e-06,8.031562588119335e-06,8.942061434671691e-05,1.864048799522863e-05,5.178922054334274e-06,1.7075495588206861e-06,2.990979300201965e-06,3.246279506835282e-05,4.3878453091392376e-05,1.790442059936644e-05,7.775664873103271e-05,0.0,0.0004308013971089927,5.114748306642877e-05,7.393332485997307e-05,2.766184500738345e-05,0.00015661477480082714,0.00010796606112102442,0.0003234556190356742,5.486337296175207e-05,9.289409474899592e-05,4.00449149838138e-05,5.201714085520532e-05,0.00011099121531678683,0.0001094567748798316,2.2800652841614727e-05,9.797380818529635e-05,2.668530422580427e-05,7.104957557421301e-05,3.566270599516375e-05,3.5293999384017655e-05,9.920219380225326e-05,0.00014353049462952162,3.6010162287656765e-05,2.4342329819721005e-05,3.852457828053403e-05,7.48442138325686e-05,7.294777150682116e-05,0.00011671108279463619,7.214614960543276e-05,0.00020973258769506236,1.0877382181460973e-12,2.950053464776899e-13,2.1146501780917736e-13,2.7191311710417804e-13,2.115802663740476e-12,9.342946819532931e-14,9.643101672855017e-14,2.0115742760525292e-13,9.411544892545828e-13,3.810742378042785e-13,1.116139320394953e-13,5.382538051000033e-13,1.4504155893093457e-13,5.633297291889621e-13,3.478903457078759e-13,1.674039900721268e-13,1.731532216090718e-12,2.2789356564467784e-13,4.666454566043143e-13,2.15924457778549e-13,8.269915751652543e-13,5.913355223350127e-13,7.417170896682587e-13,8.483589120217437e-13,3.155216405993327e-12,4.90994791363425e-13
Yellow-crowned Night Heron,3.3286267978054555e-05,0.00026292591533011347,7.843209481268736e-05,3.4443672160060267e-06,4.269484358172305e-06,4.042468584881568e-05,3.163087867556823e-05,2.285641295622218e-05,1.9531945668922643e-06,1.5101785689657633e-05,6.49392676459008e-05,7.396290584374998e-05,2.655310040024607e-05,0.00024693689778470325,0.0004308013971089927,0.0,6.2097096684684e-05,7.372932275629826e-05,7.582255093390686e-05,9.931122114272597e-05,7.000093497171444e-05,0.00042260165276140427,0.00011008000088153599,0.0002855246232653986,1.7848934889802955e-05,0.00011903029846001909,4.133965848231727e-05,6.599411967817707e-05,8.734821151962825e-05,1.5298486505045134e-05,7.81951066827702e-05,6.961581802142838e-05,6.443011350265148e-06,1.7989989870349103e-05,3.808174716260237e-05,9.39298751635646e-05,3.684878595487996e-05,1.1158650852461136e-05,9.783156868118306e-06,8.454052361307075e-05,6.0597227905243366e-05,3.6404194740374114e-05,1.7482778200179186e-05,4.373632794792471e-05,9.833162466734268e-14,2.3057596109004048e-14,2.8826196008420363e-14,2.981630328916669e-14,4.306103578121501e-14,1.56650877520413e-14,2.4560133605458617e-14,2.425154854896939e-14,3.581694091684424e-13,2.400709214231357e-13,8.958186968310257e-15,3.1876684932663643e-14,2.6279767902222774e-14,1.8825096493877196e-14,1.1762500819045489e-14,1.1891641343826237e-14,2.376304346243461e-13,4.72548861263242e-14,6.615442985142542e-14,3.7056806529997186e-14,5.929302247464426e-14,7.779139031209855e-14,6.134407329107149e-14,1.4868430954398256e-13,1.2531452239211936e-13,8.944766058480216e-15
